X,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,Mode7,Mode8,Mode9,Mode10,Mode11,Mode12,Mode13,Mode14,Mode15,Mode16,Mode17,Mode18,Mode19,Mode20,Mode21,Mode22,Mode23,Mode24,Mode25,Mode26,Mode27,Mode28,Mode29,Mode30,Mode31,Mode32,Mode33,Mode34,Mode35,Mode36,Mode37,Mode38,Mode39,Mode40,Mode41,Mode42,Mode43,Mode44,Mode45,Mode46,Mode47,Mode48,Mode49,Mode50,Mode51,Mode52,Mode53,Mode54,Mode55,Mode56,Mode57,Mode58,Mode59,Mode60,Mode61,Mode62,Mode63,Mode64,Mode65,Mode66,Mode67,Mode68,Mode69,Mode70,Mode71,Mode72,Mode73,Mode74,Mode75,Mode76,Mode77,Mode78,Mode79,Mode80,Mode81,Mode82,Mode83,Mode84,Mode85,Mode86,Mode87,Mode88,Mode89,Mode90,Mode91,Mode92,Mode93,Mode94,Mode95,Mode96,Mode97,Mode98,Mode99,Mode100
26.18181818,-0.013,-0.02,0.017,0.014,0.014,0.016,0.019,-0.003,-0.033,0.03,-0.006,-0.008,0.006,-0.004,0.032,0.029,0.013,0.003,0.02,0.01,0.02,-0.027,-0.002,0.042,-0.035,-0.026,0.032,-0.006,0.02,-0.041,0.046,0.005,0.002,0.003,-0.001,-0.002,-0.003,0,0.02,-0.02,-0.005,-0.003,-0.001,0.001,-0.001,-0.002,-0.007,-0.002,-0.003,-0.012,0.012,0.001,0,-0.017,0.02,-0.021,0.004,0.018,0.003,0.002,0,0.002,-0.033,0.02,0.024,-0.019,0.009,-0.01,0.007,-0.018,0,0.019,0.024,0.012,-0.024,-0.006,-0.027,-0.015,0.006,-0.015,0,0,-0.002,0.009,0.014,-0.009,0.016,0.026,0.01,0.001,0.007,0.022,-0.003,-0.001,-0.019,0.015,0.015,-0.001,-0.023,-0.016
26.81818182,-0.013,-0.021,0.019,0.016,0.015,0.018,0.021,-0.005,-0.035,0.034,-0.005,-0.007,0.006,-0.003,0.035,0.032,0.013,0.003,0.019,0.009,0.019,-0.026,-0.002,0.038,-0.033,-0.027,0.033,-0.005,0.018,-0.038,0.043,0.005,0.001,0.003,0,-0.002,-0.002,-0.001,0.019,-0.018,-0.004,-0.001,-0.004,0.002,-0.001,-0.004,-0.001,-0.008,0.01,-0.001,-0.002,0.002,-0.002,-0.003,0.019,-0.019,0.005,0.016,0.002,0.003,0.001,0,-0.031,0.021,0.024,-0.02,0.014,-0.015,0.007,-0.014,0,0.017,0.024,0.012,-0.022,-0.001,-0.031,-0.02,0.014,-0.005,-0.005,-0.001,0,0.001,0.023,-0.016,0.007,0.034,0.015,0.002,0.011,0.023,-0.005,0,-0.023,0.016,0.018,0.006,-0.023,-0.018
27.45454545,-0.014,-0.023,0.02,0.017,0.016,0.019,0.023,-0.006,-0.037,0.036,-0.004,-0.007,0.006,-0.002,0.037,0.035,0.013,0.002,0.016,0.007,0.017,-0.024,-0.002,0.033,-0.029,-0.027,0.033,-0.004,0.015,-0.033,0.039,0.005,0,0.002,0.001,-0.001,-0.002,-0.001,0.017,-0.016,-0.003,0,-0.007,0.003,0,-0.007,0.005,-0.013,0.021,0.009,-0.017,0.002,-0.003,0.01,0.017,-0.017,0.005,0.012,0.001,0.003,0.002,-0.002,-0.027,0.021,0.023,-0.019,0.018,-0.02,0.007,-0.009,0,0.014,0.022,0.011,-0.02,0.004,-0.03,-0.021,0.019,0.005,-0.01,-0.002,0.002,-0.006,0.029,-0.021,-0.003,0.036,0.017,0.002,0.013,0.021,-0.005,0,-0.024,0.018,0.019,0.01,-0.022,-0.019
28.09090909,-0.014,-0.024,0.021,0.018,0.017,0.02,0.025,-0.008,-0.039,0.039,-0.004,-0.006,0.005,-0.001,0.039,0.037,0.013,0.001,0.014,0.006,0.014,-0.021,-0.001,0.027,-0.024,-0.028,0.032,-0.003,0.011,-0.027,0.033,0.005,-0.001,0.002,0.001,-0.001,-0.001,-0.002,0.015,-0.013,-0.002,0.002,-0.009,0.003,0.001,-0.008,0.01,-0.018,0.032,0.019,-0.03,0.002,-0.005,0.022,0.015,-0.015,0.006,0.008,0.001,0.004,0.003,-0.004,-0.021,0.021,0.022,-0.017,0.021,-0.022,0.007,-0.003,0,0.01,0.017,0.01,-0.016,0.009,-0.025,-0.018,0.021,0.015,-0.014,-0.003,0.003,-0.013,0.031,-0.022,-0.012,0.033,0.017,0.002,0.013,0.015,-0.005,0,-0.021,0.017,0.017,0.012,-0.021,-0.02
28.72727273,-0.014,-0.024,0.022,0.019,0.018,0.021,0.026,-0.009,-0.04,0.041,-0.003,-0.004,0.005,0.001,0.041,0.039,0.013,0.001,0.01,0.004,0.01,-0.017,-0.001,0.019,-0.018,-0.027,0.031,-0.002,0.007,-0.02,0.025,0.005,-0.002,0.002,0.002,0,0,-0.002,0.012,-0.01,-0.001,0.004,-0.011,0.003,0.002,-0.009,0.015,-0.021,0.04,0.028,-0.041,0.003,-0.005,0.033,0.014,-0.013,0.006,0.004,0,0.004,0.004,-0.006,-0.014,0.021,0.022,-0.014,0.023,-0.023,0.007,0.003,0,0.005,0.011,0.008,-0.012,0.012,-0.016,-0.013,0.021,0.024,-0.016,-0.004,0.004,-0.018,0.028,-0.02,-0.02,0.024,0.013,0.002,0.01,0.006,-0.004,0,-0.015,0.017,0.012,0.011,-0.02,-0.021
29.36363636,-0.014,-0.025,0.022,0.02,0.019,0.021,0.027,-0.01,-0.041,0.042,-0.002,-0.003,0.004,0.002,0.042,0.041,0.013,0,0.007,0.001,0.006,-0.012,-0.001,0.011,-0.011,-0.027,0.029,-0.001,0.002,-0.012,0.017,0.004,-0.003,0.001,0.002,0.001,0.001,-0.002,0.008,-0.006,0,0.005,-0.011,0.003,0.003,-0.009,0.019,-0.023,0.044,0.034,-0.049,0.002,-0.006,0.041,0.013,-0.012,0.005,-0.001,0,0.004,0.004,-0.008,-0.006,0.021,0.021,-0.011,0.022,-0.022,0.007,0.009,0,0,0.004,0.005,-0.006,0.014,-0.005,-0.005,0.018,0.029,-0.015,-0.004,0.004,-0.02,0.021,-0.014,-0.026,0.011,0.008,0.001,0.006,-0.004,-0.003,0,-0.007,0.015,0.005,0.006,-0.02,-0.021
30,-0.014,-0.025,0.023,0.021,0.02,0.021,0.028,-0.011,-0.041,0.043,0,-0.001,0.004,0.004,0.043,0.042,0.013,0,0.003,-0.001,0.002,-0.007,0,0.002,-0.003,-0.026,0.027,0.001,-0.003,-0.003,0.008,0.003,-0.004,0.001,0.002,0.001,0.001,-0.002,0.004,-0.002,0.002,0.007,-0.01,0.003,0.003,-0.008,0.02,-0.022,0.046,0.037,-0.053,0.002,-0.006,0.045,0.013,-0.012,0.004,-0.005,-0.001,0.003,0.004,-0.008,0.002,0.021,0.021,-0.006,0.02,-0.019,0.007,0.014,0,-0.005,-0.004,0.003,-0.001,0.014,0.007,0.004,0.013,0.032,-0.014,-0.004,0.004,-0.02,0.012,-0.007,-0.028,-0.004,0.001,0,0.001,-0.015,-0.001,0,0.002,0.013,-0.002,0,-0.02,-0.022
30.63636364,-0.014,-0.025,0.023,0.021,0.02,0.021,0.029,-0.012,-0.041,0.044,0.001,0,0.003,0.006,0.043,0.042,0.013,0,-0.001,-0.003,-0.002,-0.002,0,-0.007,0.004,-0.025,0.024,0.002,-0.009,0.005,-0.002,0.002,-0.004,0,0.002,0.002,0.002,-0.002,0,0.001,0.003,0.008,-0.008,0.002,0.004,-0.006,0.021,-0.02,0.044,0.037,-0.052,0.002,-0.006,0.045,0.013,-0.013,0.003,-0.009,-0.001,0.002,0.004,-0.008,0.01,0.021,0.021,-0.001,0.016,-0.013,0.007,0.018,0,-0.009,-0.011,0,0.005,0.013,0.018,0.012,0.006,0.031,-0.01,-0.003,0.003,-0.017,0.001,0.002,-0.027,-0.019,-0.006,-0.001,-0.004,-0.024,0,-0.001,0.01,0.011,-0.008,-0.007,-0.021,-0.022
31.27272727,-0.013,-0.025,0.023,0.021,0.02,0.021,0.029,-0.013,-0.04,0.043,0.002,0.002,0.002,0.007,0.043,0.042,0.013,0,-0.004,-0.005,-0.006,0.004,0.001,-0.016,0.012,-0.023,0.021,0.003,-0.014,0.014,-0.011,0,-0.005,0,0.002,0.002,0.003,-0.002,-0.005,0.005,0.004,0.009,-0.005,0.001,0.004,-0.003,0.019,-0.016,0.039,0.034,-0.047,0.002,-0.005,0.042,0.014,-0.014,0.002,-0.012,-0.002,0.001,0.004,-0.007,0.017,0.021,0.021,0.005,0.01,-0.007,0.006,0.019,0,-0.012,-0.018,-0.002,0.011,0.01,0.027,0.019,-0.001,0.026,-0.005,-0.002,0.002,-0.012,-0.009,0.01,-0.023,-0.031,-0.011,-0.002,-0.008,-0.03,0.002,-0.001,0.016,0.008,-0.012,-0.013,-0.022,-0.022
31.90909091,-0.013,-0.024,0.022,0.021,0.02,0.021,0.029,-0.013,-0.039,0.043,0.003,0.003,0.001,0.009,0.042,0.042,0.012,0,-0.007,-0.006,-0.01,0.009,0.001,-0.025,0.02,-0.022,0.018,0.004,-0.018,0.021,-0.02,-0.001,-0.005,0,0.002,0.002,0.003,-0.001,-0.009,0.008,0.004,0.009,-0.002,0,0.004,0,0.016,-0.011,0.03,0.029,-0.039,0.001,-0.003,0.034,0.016,-0.016,0,-0.014,-0.002,0,0.004,-0.006,0.022,0.022,0.022,0.011,0.004,0,0.006,0.018,0,-0.014,-0.022,-0.004,0.015,0.006,0.031,0.022,-0.008,0.018,0,-0.001,0,-0.005,-0.018,0.016,-0.016,-0.038,-0.015,-0.002,-0.01,-0.031,0.003,-0.001,0.019,0.007,-0.014,-0.017,-0.024,-0.022
32.54545455,-0.012,-0.024,0.022,0.021,0.019,0.02,0.029,-0.014,-0.038,0.042,0.004,0.005,0.001,0.01,0.041,0.041,0.012,0,-0.01,-0.007,-0.014,0.013,0.001,-0.032,0.026,-0.02,0.015,0.005,-0.022,0.028,-0.028,-0.002,-0.005,-0.001,0.001,0.002,0.003,-0.001,-0.013,0.011,0.005,0.009,0.002,-0.001,0.004,0.004,0.011,-0.006,0.02,0.021,-0.027,0.001,-0.002,0.024,0.018,-0.019,-0.001,-0.015,-0.002,-0.002,0.003,-0.003,0.026,0.022,0.023,0.016,-0.003,0.008,0.006,0.016,0,-0.014,-0.026,-0.005,0.019,0.002,0.032,0.022,-0.013,0.009,0.005,0.001,-0.001,0.002,-0.023,0.021,-0.007,-0.04,-0.016,-0.003,-0.01,-0.029,0.004,-0.001,0.018,0.005,-0.012,-0.019,-0.025,-0.022
33.18181818,-0.012,-0.023,0.021,0.02,0.019,0.019,0.028,-0.014,-0.036,0.04,0.005,0.006,0,0.011,0.039,0.039,0.012,0.001,-0.012,-0.008,-0.017,0.017,0.001,-0.038,0.032,-0.018,0.013,0.006,-0.026,0.034,-0.034,-0.003,-0.005,-0.001,0.001,0.001,0.004,0,-0.016,0.014,0.005,0.009,0.005,-0.002,0.003,0.007,0.006,0,0.008,0.011,-0.014,0,0,0.012,0.02,-0.021,-0.003,-0.015,-0.002,-0.003,0.002,-0.001,0.028,0.022,0.024,0.02,-0.009,0.014,0.006,0.012,0.001,-0.013,-0.027,-0.006,0.022,-0.002,0.027,0.018,-0.016,-0.002,0.009,0.002,-0.001,0.008,-0.024,0.022,0.003,-0.036,-0.014,-0.003,-0.008,-0.021,0.004,0,0.013,0.005,-0.008,-0.017,-0.025,-0.021
33.81818182,-0.011,-0.021,0.02,0.02,0.018,0.018,0.026,-0.014,-0.034,0.038,0.006,0.007,-0.001,0.012,0.037,0.037,0.012,0.001,-0.013,-0.008,-0.02,0.02,0.002,-0.042,0.036,-0.016,0.01,0.007,-0.028,0.038,-0.04,-0.004,-0.005,-0.001,0,0.001,0.004,0.001,-0.019,0.016,0.005,0.008,0.009,-0.003,0.003,0.01,0,0.006,-0.005,0.001,0,0,0.001,0,0.022,-0.024,-0.004,-0.014,-0.002,-0.004,0.001,0.003,0.027,0.021,0.025,0.024,-0.015,0.019,0.005,0.007,0.001,-0.011,-0.026,-0.006,0.024,-0.006,0.019,0.011,-0.018,-0.013,0.012,0.003,-0.002,0.014,-0.022,0.02,0.012,-0.025,-0.009,-0.002,-0.005,-0.011,0.004,0.001,0.006,0.005,-0.002,-0.012,-0.025,-0.021
34.45454545,-0.01,-0.02,0.019,0.018,0.017,0.017,0.025,-0.013,-0.031,0.035,0.006,0.008,-0.002,0.013,0.034,0.034,0.011,0.001,-0.014,-0.008,-0.022,0.023,0.002,-0.045,0.038,-0.014,0.007,0.007,-0.03,0.041,-0.043,-0.005,-0.005,-0.002,-0.001,0.001,0.004,0.002,-0.021,0.017,0.005,0.008,0.011,-0.004,0.002,0.012,-0.006,0.012,-0.016,-0.01,0.014,-0.001,0.003,-0.013,0.023,-0.025,-0.004,-0.011,-0.001,-0.005,0,0.006,0.025,0.02,0.025,0.026,-0.019,0.022,0.005,0.002,0.001,-0.007,-0.023,-0.005,0.025,-0.008,0.008,0.002,-0.016,-0.022,0.014,0.004,-0.001,0.018,-0.016,0.015,0.02,-0.011,-0.003,-0.001,0,0.002,0.003,0.001,-0.002,0.005,0.005,-0.005,-0.024,-0.02
35.09090909,-0.009,-0.018,0.017,0.017,0.016,0.015,0.023,-0.012,-0.028,0.032,0.007,0.008,-0.002,0.013,0.031,0.03,0.011,0.002,-0.014,-0.008,-0.022,0.023,0.001,-0.046,0.039,-0.012,0.005,0.008,-0.03,0.042,-0.045,-0.005,-0.004,-0.002,-0.001,0,0.004,0.002,-0.022,0.018,0.004,0.007,0.013,-0.004,0.002,0.013,-0.012,0.016,-0.026,-0.019,0.026,-0.001,0.004,-0.024,0.023,-0.026,-0.004,-0.008,0,-0.006,-0.001,0.009,0.022,0.019,0.025,0.027,-0.021,0.024,0.005,-0.003,0,-0.004,-0.019,-0.004,0.024,-0.01,-0.004,-0.008,-0.013,-0.028,0.013,0.004,-0.001,0.02,-0.008,0.008,0.026,0.005,0.003,0,0.004,0.015,0.001,0.002,-0.01,0.006,0.012,0.002,-0.021,-0.018
35.72727273,-0.008,-0.016,0.015,0.016,0.014,0.013,0.02,-0.012,-0.025,0.029,0.007,0.009,-0.003,0.013,0.028,0.027,0.011,0.003,-0.013,-0.007,-0.022,0.023,0.001,-0.045,0.038,-0.01,0.004,0.008,-0.03,0.041,-0.044,-0.004,-0.004,-0.002,-0.001,0,0.004,0.003,-0.022,0.018,0.004,0.005,0.014,-0.004,0.001,0.014,-0.016,0.019,-0.034,-0.026,0.035,-0.001,0.005,-0.033,0.023,-0.026,-0.003,-0.004,0.001,-0.007,-0.001,0.011,0.018,0.017,0.023,0.026,-0.021,0.022,0.004,-0.007,0.001,0,-0.014,-0.003,0.023,-0.01,-0.017,-0.018,-0.008,-0.031,0.012,0.004,0,0.019,0.002,0.001,0.028,0.021,0.009,0.001,0.008,0.027,0,0.002,-0.016,0.007,0.016,0.01,-0.018,-0.016
36.36363636,-0.007,-0.014,0.014,0.014,0.012,0.012,0.018,-0.01,-0.021,0.025,0.007,0.009,-0.003,0.012,0.024,0.023,0.01,0.003,-0.011,-0.006,-0.021,0.022,0.001,-0.042,0.036,-0.009,0.002,0.008,-0.028,0.039,-0.042,-0.004,-0.004,-0.001,-0.001,-0.001,0.004,0.004,-0.022,0.018,0.003,0.004,0.014,-0.003,0.001,0.013,-0.018,0.021,-0.038,-0.031,0.041,-0.001,0.006,-0.039,0.021,-0.025,-0.002,0,0.002,-0.007,-0.002,0.012,0.013,0.015,0.021,0.024,-0.019,0.019,0.004,-0.01,0.001,0.003,-0.008,-0.001,0.02,-0.009,-0.027,-0.027,-0.002,-0.031,0.009,0.003,0.001,0.017,0.01,-0.006,0.028,0.034,0.014,0.002,0.009,0.035,-0.001,0.002,-0.02,0.007,0.019,0.015,-0.014,-0.014
37,-0.006,-0.012,0.012,0.012,0.011,0.01,0.015,-0.009,-0.017,0.02,0.007,0.009,-0.003,0.011,0.02,0.019,0.01,0.004,-0.009,-0.004,-0.02,0.019,0,-0.038,0.031,-0.007,0.001,0.008,-0.025,0.035,-0.038,-0.003,-0.004,-0.001,0,-0.001,0.004,0.004,-0.02,0.016,0.002,0.003,0.012,-0.002,0.001,0.011,-0.019,0.021,-0.038,-0.034,0.042,0,0.007,-0.041,0.019,-0.022,0,0.004,0.003,-0.007,-0.001,0.013,0.008,0.012,0.018,0.021,-0.015,0.014,0.003,-0.012,0.001,0.005,-0.004,0,0.017,-0.006,-0.034,-0.032,0.003,-0.027,0.006,0.002,0.003,0.013,0.017,-0.011,0.025,0.042,0.016,0.003,0.009,0.038,-0.002,0.002,-0.02,0.007,0.018,0.018,-0.01,-0.012
37.75,-0.005,-0.009,0.009,0.009,0.008,0.007,0.011,-0.008,-0.013,0.015,0.007,0.008,-0.003,0.01,0.015,0.013,0.009,0.004,-0.006,-0.002,-0.016,0.015,0,-0.03,0.024,-0.005,0,0.008,-0.021,0.029,-0.031,-0.001,-0.004,-0.001,0,-0.001,0.004,0.005,-0.017,0.014,0.001,0.001,0.009,0,0.002,0.008,-0.018,0.018,-0.035,-0.032,0.038,0.001,0.007,-0.039,0.015,-0.018,0.002,0.008,0.004,-0.006,0,0.012,0.003,0.009,0.013,0.017,-0.008,0.007,0.003,-0.012,0.002,0.006,0.001,0.001,0.013,-0.001,-0.037,-0.033,0.008,-0.019,0.002,0.001,0.004,0.008,0.021,-0.014,0.018,0.044,0.014,0.004,0.006,0.037,-0.001,0.002,-0.016,0.007,0.014,0.018,-0.005,-0.009
38.5,-0.003,-0.007,0.007,0.007,0.006,0.004,0.007,-0.006,-0.008,0.01,0.006,0.007,-0.003,0.008,0.01,0.008,0.008,0.005,-0.002,0.001,-0.012,0.01,-0.001,-0.021,0.016,-0.003,0,0.007,-0.016,0.022,-0.023,0.001,-0.005,-0.001,0.002,-0.001,0.005,0.005,-0.014,0.012,0,-0.001,0.005,0.003,0.002,0.003,-0.015,0.014,-0.027,-0.027,0.03,0.002,0.007,-0.032,0.01,-0.012,0.005,0.011,0.005,-0.006,0.001,0.01,-0.001,0.005,0.008,0.012,0,-0.001,0.002,-0.009,0.002,0.005,0.003,0.001,0.008,0.004,-0.033,-0.029,0.011,-0.008,-0.001,0,0.005,0.004,0.019,-0.013,0.01,0.037,0.009,0.004,0,0.029,0,0.002,-0.008,0.005,0.007,0.014,-0.001,-0.007
39.25,-0.002,-0.004,0.004,0.004,0.004,0.001,0.003,-0.004,-0.003,0.004,0.005,0.006,-0.003,0.006,0.005,0.003,0.007,0.005,0.002,0.003,-0.007,0.004,-0.002,-0.011,0.007,-0.002,0,0.007,-0.01,0.013,-0.013,0.003,-0.005,-0.001,0.003,-0.001,0.005,0.005,-0.01,0.009,-0.001,-0.002,-0.001,0.006,0.003,-0.003,-0.01,0.009,-0.016,-0.02,0.017,0.003,0.006,-0.021,0.004,-0.005,0.007,0.013,0.006,-0.005,0.002,0.007,-0.003,0.002,0.003,0.006,0.009,-0.009,0.001,-0.005,0.003,0.003,0.004,0,0.004,0.009,-0.024,-0.02,0.012,0.004,-0.004,-0.001,0.005,-0.002,0.013,-0.009,0,0.022,0.001,0.003,-0.007,0.016,0.002,0.002,0.003,0.003,-0.002,0.006,0.002,-0.004
40,0,-0.001,0.001,0.002,0.001,-0.002,-0.001,-0.002,0.001,-0.001,0.004,0.005,-0.002,0.004,0.001,-0.001,0.006,0.005,0.007,0.005,-0.002,-0.003,-0.002,-0.001,-0.002,-0.001,0.001,0.005,-0.004,0.006,-0.005,0.005,-0.005,0,0.004,-0.001,0.005,0.005,-0.007,0.007,-0.002,-0.003,-0.007,0.008,0.004,-0.008,-0.005,0.003,-0.005,-0.012,0.004,0.004,0.006,-0.01,-0.001,0.001,0.009,0.015,0.008,-0.004,0.004,0.004,-0.005,-0.001,-0.001,0.001,0.016,-0.015,0,0,0.003,0,0.003,-0.001,0.001,0.013,-0.014,-0.01,0.011,0.014,-0.005,-0.001,0.005,-0.005,0.005,-0.004,-0.007,0.007,-0.008,0.002,-0.014,0.003,0.004,0.001,0.013,0.001,-0.01,-0.001,0.003,-0.002
