Z,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6
-2.286,0,0,0,0,0,0
0,4.11992E-05,-2.42514E-05,3.76144E-05,-8.00622E-05,0.00017055,-0.002998489
2.286,0.000116429,-6.084E-05,9.26384E-05,-0.000186735,0.000393324,-0.006654844
4.572,0.000226617,-0.000110164,0.000165655,-0.000321041,0.000670397,-0.010998415
6.858,0.000372938,-0.000172489,0.000256982,-0.000483063,0.001001682,-0.016011095
9.144,0.000556615,-0.000248088,0.000366938,-0.000672847,0.001386994,-0.021671867
11.43,0.00077893,-0.000337235,0.000495841,-0.000890395,0.001826039,-0.027956665
13.716,0.001041223,-0.000440211,0.000644011,-0.001135666,0.002318406,-0.034838241
16.002,0.001344899,-0.000557299,0.000811762,-0.001408567,0.002863558,-0.042286022
18.288,0.001691414,-0.000688779,0.0009994,-0.001708936,0.003460791,-0.050265458
20.574,0.002082274,-0.000834931,0.001207217,-0.002036538,0.004109229,-0.058738185
22.86,0.002519039,-0.000996026,0.001435491,-0.002391066,0.004807819,-0.06766196
25.146,0.003003322,-0.001172334,0.001684485,-0.002772131,0.005555323,-0.076990585
27.432,0.003536805,-0.001364124,0.001954453,-0.003179275,0.006350334,-0.086674399
28.575,0.003822567,-0.001465935,0.002097421,-0.003392565,0.006765383,-0.091636432
29.718,0.00412178,-0.001571966,0.002246099,-0.003612869,0.007193128,-0.096685979
32.004,0.004759776,-0.001795651,0.002558855,-0.004070291,0.008077574,-0.10689183
34.29,0.00545262,-0.002035729,0.002893456,-0.00455235,0.009005059,-0.117296127
36.576,0.006202085,-0.002292296,0.003249833,-0.005057583,0.009971894,-0.127801959
38.862,0.007010231,-0.0025656,0.003628162,-0.005585181,0.010975926,-0.138353793
40.005,0.00743707,-0.002708687,0.003825739,-0.005857353,0.01149169,-0.143634153
41.148,0.00787916,-0.002855867,0.004028564,-0.006134033,0.012014213,-0.148870376
43.434,0.008811221,-0.003163315,0.004451127,-0.00670288,0.013083532,-0.159271409
45.72,0.009808375,-0.00348801,0.004895718,-0.007290157,0.014180107,-0.169476794
48.006,0.010872208,-0.00382975,0.005361764,-0.007893093,0.015297394,-0.179340303
50.292,0.012004148,-0.004188391,0.005848854,-0.008509967,0.016431587,-0.188808536
52.578,0.013205687,-0.004563819,0.006356601,-0.009138894,0.017578365,-0.197803065
54.864,0.014478343,-0.004955885,0.006884561,-0.009777841,0.018733092,-0.206241921
57.15,0.015823645,-0.005364411,0.007432236,-0.010424664,0.019890924,-0.214043166
59.436,0.01724316,-0.005789197,0.00799909,-0.011077136,0.021046865,-0.22112604
61.722,0.018738482,-0.006230008,0.008584526,-0.011732915,0.022195713,-0.227410814
64.008,0.020311512,-0.006686715,0.009188093,-0.012389881,0.023332703,-0.232824291
66.294,0.021964191,-0.007159082,0.00980916,-0.013045512,0.024452278,-0.237288116
68.58,0.023698176,-0.007646689,0.010446815,-0.013696853,0.025548092,-0.240723351
70.866,0.025515153,-0.008149163,0.011100224,-0.014341165,0.026614295,-0.2430614
73.152,0.027416844,-0.008666095,0.0117685,-0.014975642,0.027644944,-0.24423818
75.438,0.029404993,-0.009197037,0.012450684,-0.015597378,0.028633964,-0.244194482
77.724,0.031481348,-0.009741492,0.013145746,-0.016203396,0.0295752,-0.242877104
80.01,0.033647693,-0.01029893,0.013852598,-0.016790661,0.030462456,-0.240239262
82.296,0.035905869,-0.010868781,0.014570087,-0.017356068,0.031289474,-0.236240835
84.582,0.038257737,-0.011450422,0.015296978,-0.017896443,0.032049944,-0.230849436
86.868,0.040705509,-0.012043315,0.01603214,-0.018408741,0.032737818,-0.224036861
89.154,0.043251447,-0.012646784,0.016774224,-0.018889599,0.033346557,-0.215782992
91.44,0.045897477,-0.013259955,0.0175216,-0.01933545,0.033869452,-0.206083922
93.726,0.048645511,-0.013881969,0.018272658,-0.019742741,0.034299818,-0.194935949
96.012,0.051497512,-0.014511969,0.019025825,-0.020108392,0.034632199,-0.182365367
98.298,0.054455402,-0.015149001,0.019779372,-0.020429094,0.034860772,-0.168401605
100.584,0.057521015,-0.015792045,0.02053149,-0.020701608,0.034980012,-0.153087355
102.87,0.060696573,-0.016440156,0.021280454,-0.020922794,0.034984594,-0.136467363
105.156,0.063984273,-0.017092208,0.022024279,-0.02108935,0.034869162,-0.118605449
107.442,0.067385801,-0.017746892,0.02276075,-0.021198107,0.034628981,-0.099591115
109.728,0.070903226,-0.018403058,0.023487887,-0.021246172,0.034259749,-0.079508175
112.014,0.074538571,-0.01905938,0.024203451,-0.021230598,0.033757396,-0.058462301
114.3,0.078293303,-0.019714355,0.02490501,-0.021148724,0.033118802,-0.03658562
116.586,0.082168836,-0.020366541,0.025590252,-0.020998237,0.03234156,-0.014012823
118.872,0.086166598,-0.02101444,0.026256797,-0.020776992,0.031423791,0.009110028
121.158,0.090287921,-0.021656487,0.026902197,-0.020483087,0.030364309,0.032624292
123.444,0.094533961,-0.022291068,0.027523976,-0.020114936,0.02916274,0.056360753
125.73,0.098905814,-0.022916533,0.028119634,-0.019671237,0.027819431,0.080142495
128.016,0.103404573,-0.023531181,0.028686624,-0.01915094,0.026335413,0.103784701
130.302,0.108031334,-0.024133255,0.02922235,-0.018553268,0.024712436,0.127095649
132.588,0.112787063,-0.024720946,0.02972418,-0.017877812,0.022953161,0.149876807
134.874,0.117672514,-0.025292414,0.030189503,-0.01712459,0.021061232,0.171926404
137.16,0.122688356,-0.025845803,0.030615717,-0.016293994,0.019041135,0.193042385
139.446,0.127835214,-0.026379159,0.031000113,-0.015386574,0.016897876,0.213013576
141.732,0.133113154,-0.026890564,0.031340181,-0.014404047,0.014638834,0.231641388
144.018,0.138521952,-0.027378175,0.031633559,-0.013348379,0.012271749,0.248736326
146.304,0.144063079,-0.02784025,0.031877848,-0.012220515,0.009802021,0.26413499
148.59,0.149738049,-0.028274547,0.032070045,-0.011022215,0.007237636,0.277638658
150.876,0.155547293,-0.028678757,0.032207254,-0.00975654,0.004589339,0.28905172
153.162,0.161491112,-0.029050785,0.032286912,-0.008426727,0.001867762,0.298209321
155.448,0.167569758,-0.029388507,0.03230648,-0.007036457,-0.000915585,0.304959538
157.734,0.173783441,-0.029689771,0.032263446,-0.005589849,-0.003748364,0.309165512
160.02,0.180131835,-0.029952424,0.03215544,-0.004091897,-0.006616595,0.310710517
162.306,0.186614534,-0.030174424,0.031980289,-0.002547806,-0.009506221,0.309504219
164.592,0.193231079,-0.030353726,0.031735889,-0.000963199,-0.012402512,0.3054778
166.878,0.199980952,-0.030488281,0.031420213,0.000655884,-0.015290107,0.298585631
169.164,0.206863579,-0.030576045,0.031031317,0.002302993,-0.018153061,0.288806841
171.45,0.21387832,-0.03061498,0.030567348,0.003971278,-0.020974901,0.27614674
173.736,0.221024475,-0.030603055,0.030026555,0.005653495,-0.023738682,0.260638099
176.022,0.228301277,-0.030538253,0.029407291,0.007342022,-0.026427057,0.242342242
178.308,0.235707889,-0.030418572,0.02870803,0.009028874,-0.029022343,0.221349937
180.594,0.243243405,-0.030242033,0.027927368,0.010705719,-0.031506605,0.197782068
182.88,0.250906845,-0.03000668,0.027064037,0.0123639,-0.033861733,0.171790049
185.166,0.2586971,-0.029710516,0.026116816,0.013994284,-0.036068909,0.143546712
187.452,0.266613094,-0.029351725,0.025084838,0.015587823,-0.038110648,0.113274792
189.738,0.274653617,-0.02892846,0.023967305,0.017135053,-0.039968963,0.081218001
192.024,0.282817376,-0.028438918,0.022763593,0.018626295,-0.041626098,0.047649409
194.31,0.291102991,-0.027881346,0.021473259,0.020051693,-0.043064645,0.012870309
196.596,0.299508994,-0.027254046,0.020096054,0.021401252,-0.044267658,-0.022791282
198.882,0.308033825,-0.026555379,0.018631933,0.02266488,-0.045218782,-0.058982502
201.168,0.316675828,-0.025783774,0.017081064,0.02383243,-0.04590238,-0.095327906
203.454,0.325429445,-0.024939776,0.015446506,0.024895489,-0.046309952,-0.131386179
205.74,0.334290769,-0.024023751,0.01373055,0.025847894,-0.046435849,-0.166819223
208.026,0.343261659,-0.023032278,0.011931339,0.026677756,-0.046260654,-0.201246128
210.312,0.352342109,-0.021962377,0.010048397,0.027371497,-0.045765404,-0.234159683
212.598,0.361529952,-0.020812908,0.008083116,0.027919529,-0.044940188,-0.265119845
214.884,0.370822833,-0.019582889,0.006037221,0.028312629,-0.043776863,-0.293686221
217.17,0.380218164,-0.018271548,0.00391281,0.028542127,-0.042269403,-0.319426274
219.456,0.389713202,-0.016878282,0.001712301,0.028599924,-0.040413852,-0.341921103
221.742,0.399305094,-0.015402624,-0.000561598,0.028478466,-0.038208283,-0.36076888
224.028,0.408990874,-0.01384425,-0.00290588,0.028170819,-0.035652919,-0.375590569
226.314,0.418767461,-0.012202987,-0.005317236,0.027670743,-0.032750253,-0.386035782
228.6,0.428631659,-0.010478819,-0.007792052,0.026972769,-0.029505147,-0.391788703
230.886,0.43858073,-0.008671407,-0.010326916,0.026071089,-0.025922299,-0.392543613
233.172,0.44861256,-0.006780002,-0.012918552,0.024959834,-0.022007382,-0.38803414
235.458,0.45872443,-0.004804121,-0.01556289,0.023633667,-0.017769521,-0.378012888
237.744,0.468913136,-0.002743782,-0.018255246,0.022089042,-0.013222027,-0.362306806
240.03,0.479175015,-0.000599517,-0.020990372,0.020324344,-0.008382355,-0.340825621
242.316,0.489506267,0.001627878,-0.023762742,0.018339377,-0.00327074,-0.313552406
244.602,0.499902945,0.003937395,-0.026566491,0.016135199,0.002089729,-0.280540463
246.888,0.510360943,0.006327804,-0.029395412,0.013714201,0.007673097,-0.241917229
249.174,0.520876268,0.008797917,-0.032243175,0.011079447,0.013451823,-0.197866778
251.46,0.53144446,0.011346083,-0.035102794,0.008236044,0.01939399,-0.148671424
253.746,0.542060788,0.013970337,-0.037966931,0.005190514,0.025465049,-0.094681046
256.032,0.552720718,0.016668559,-0.040828361,0.001951203,0.031629233,-0.03634643
258.318,0.563419415,0.019438347,-0.043679431,-0.001472183,0.03784814,0.0258177
260.604,0.574151951,0.022277074,-0.046512333,-0.005068452,0.044081808,0.091226932
262.1661,0.581503115,0.024255679,-0.048433634,-0.007620531,0.048329706,0.137496127
263.7282,0.588866112,0.026264502,-0.05033974,-0.010243666,0.052550353,0.184755421
265.2522,0.596057515,0.028250746,-0.052180681,-0.012862723,0.056618606,0.231447131
266.7762,0.603253707,0.030260458,-0.0539995,-0.015532115,0.060615858,0.278324691
268.2621,0.610274656,0.032241594,-0.055752521,-0.018179073,0.064448807,0.324132064
269.748,0.617300625,0.034243498,-0.057487071,-0.020867032,0.068226637,0.370056413
272.034,0.627987217,0.036726945,-0.060758666,-0.02407298,0.075707414,0.443540887
272.034,0.628132271,0.037438435,-0.060037148,-0.025191944,0.073688838,0.440052324
274.32,0.638967504,0.040655457,-0.062562729,-0.029555662,0.079067962,0.509763382
276.123,0.648238299,0.046718318,-0.06099709,-0.038581051,0.073356147,0.548773518
276.3,0.649171179,0.047423153,-0.060733613,-0.039647777,0.072478844,0.552141052
277.444,0.655291064,0.052440722,-0.058549002,-0.047192626,0.065545723,0.570869796
278.892,0.663251608,0.059898332,-0.054621229,-0.058222128,0.053827677,0.586988017
280.3271,0.671359803,0.06844305,-0.049498404,-0.070562302,0.039266126,0.594216736
281.94,0.681002003,0.080571536,-0.041245979,-0.089193693,0.014708092,0.589988638
283.464,0.690406888,0.093716288,-0.031561018,-0.108257973,-0.012342974,0.568174657
285,0.700148595,0.108500778,-0.020054744,-0.128526214,-0.042762248,0.529789408
286.512,0.709966864,0.124440119,-0.007120542,-0.149111083,-0.075195322,0.476305094
288.036,0.720065051,0.141777842,0.007424852,-0.170104291,-0.1097718,0.407378481
289.56,0.730338635,0.160272303,0.023377212,-0.19094944,-0.145611987,0.324342189
291.084,0.740767113,0.179817917,0.040629538,-0.211359751,-0.182176221,0.22923272
292.608,0.751329033,0.200307243,0.059074866,-0.231036905,-0.218917609,0.123954292
294.132,0.762004558,0.221636975,0.078607387,-0.249713662,-0.255323957,0.01058361
295.656,0.772773819,0.24370312,0.099120237,-0.267121149,-0.290876459,-0.108703745
297.18,0.783622149,0.266418213,0.120515395,-0.283103808,-0.325211077,-0.231687538
298.704,0.7945349,0.289695179,0.142695334,-0.297510098,-0.357972328,-0.356197448
299.8,0.80241539,0.306736513,0.159078479,-0.306831776,-0.380391123,-0.445493921
300.228,0.805498749,0.313451251,0.165564861,-0.310220197,-0.38884963,-0.480078289
301.914,0.817670412,0.340181255,0.191539994,-0.322206834,-0.420501362,-0.61398025
303.6,0.829875548,0.367295486,0.218109618,-0.332079239,-0.449459804,-0.742766787
305,0.840386356,0.393335285,0.245274707,-0.326538378,-0.457300215,-0.82910845
305.5,0.844291287,0.404058883,0.257042856,-0.318880974,-0.453335702,-0.850417019
306,0.848269536,0.415479539,0.269826525,-0.308368082,-0.445937801,-0.866509255
306.5,0.85231738,0.427565338,0.283581389,-0.295086889,-0.435193131,-0.877296028
307,0.856431181,0.440284823,0.29826358,-0.279126763,-0.421192503,-0.88271159
307.5,0.860607388,0.453607016,0.31382971,-0.260579156,-0.404030819,-0.882713861
308,0.864842538,0.467501426,0.3302369,-0.2395375,-0.383806936,-0.87728458
308.5,0.869133254,0.481938067,0.347442804,-0.216097072,-0.360623514,-0.866429308
309,0.873476248,0.496887476,0.365405642,-0.190354856,-0.334586822,-0.850177284
309.5,0.877868321,0.512320723,0.384084224,-0.162409377,-0.305806528,-0.82858114
310,0.882306362,0.528209437,0.40343799,-0.132360526,-0.274395459,-0.801716469
310.5,0.88678735,0.544525813,0.423427036,-0.100309371,-0.240469333,-0.769681254
311,0.891308355,0.561242642,0.444012151,-0.066357949,-0.204146477,-0.732595152
311.5,0.895866535,0.578333317,0.46515485,-0.030609051,-0.165547508,-0.690598643
312,0.90045914,0.595771862,0.486817413,0.006834014,-0.124795007,-0.643852044
312.5,0.905083511,0.613532946,0.508962922,0.045867658,-0.082013163,-0.592534392
313,0.909737081,0.631591905,0.531555294,0.086388272,-0.0373274,-0.5368422
313.5,0.914417375,0.64992476,0.554559326,0.128292489,0.009136014,-0.476988094
314,0.919122011,0.668508239,0.577940732,0.17147746,0.057250371,-0.413199329
314.5,0.9238487,0.687319799,0.601666182,0.21584114,0.106888952,-0.345716197
315,0.928595246,0.706337643,0.625703344,0.261282577,0.157925466,-0.274790335
315.5,0.933359548,0.725540746,0.650020928,0.307702219,0.210234497,-0.200682927
316,0.938139599,0.744908873,0.674588724,0.355002216,0.263691972,-0.12366282
316.5,0.942933488,0.764422602,0.699377644,0.403086737,0.31817564,-0.044004557
317,0.947739398,0.784063346,0.724359771,0.45186229,0.373565554,0.038013671
317.5,0.952555609,0.803813376,0.749508396,0.501238049,0.429744568,0.122112138
318,0.957380498,0.823655838,0.774798064,0.551126182,0.486598842,0.208011756
318.5,0.962212538,0.843574785,0.800204618,0.601442184,0.544018349,0.295436311
319,0.9670503,0.863555188,0.825705245,0.652105215,0.601897396,0.384114736
319.5,0.971892454,0.883582969,0.851278515,0.703038442,0.660135139,0.473783423
320.1,0.97770711,0.907660491,0.882034338,0.764413558,0.730360361,0.58233815
320.5,0.981584845,0.923726548,0.902560476,0.805416917,0.777293706,0.655049362
321,0.986432143,0.943811111,0.928221553,0.856690004,0.835987971,0.746046444
321.5,0.991278877,0.963890047,0.953874261,0.907936571,0.894648884,0.836975044
322,0.996124508,0.98395725,0.979509079,0.95911839,0.953224562,0.92767746
322.4,1,1,1,1,1,1
